room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
1,2,118,1,34,71
1,2,14,1,0,140
1,1,18,2,0,250
0,5,0,1,0,104
1,3,14,1,0,175
0,2,3,2,179,158
1,2,0,1,0,120
0,3,17,2,0,105
1,2,11,1,7,92
0,1,0,1,0,100
0,3,0,1,179,95
1,1,0,1,0,106
0,7,1,1,365,110
0,3,14,1,44,99
0,3,70,1,256,53
1,6,0,1,0,103
0,1,123,1,105,60
1,3,142,1,185,125
0,2,31,1,51,46
0,2,56,2,27,32
0,2,3,2,330,50
0,2,3,2,330,50
1,2,31,1,99,300
1,4,45,1,48,200
1,1,25,1,287,76
0,4,0,1,0,125
1,3,102,3,222,150
0,1,22,2,0,95
1,3,3,1,261,400
